"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","229097","Validate_Hana_T1048_Orders_AllOrdersPage_ActionMenu_UpdateOrder_OrderUpgrade_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:17:54 IST 2025","passed","Thu Jun 12 15:21:43 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1048_Orders_AllOrdersPage_ActionMenu_UpdateOrder_OrderUpgrade_Functionality","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1048_Orders_AllOrdersPage_ActionMenu_UpdateOrder_OrderUpgrade_Functionality","Validate_Hana_T1048_Orders_AllOrdersPage_ActionMenu_UpdateOrder_OrderUpgrade_Functionality_Test"
"","273928","Validate_Hana_T1466_OrderPage_AllOrdersView_Pending_Confirmations_View_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:29:40 IST 2025","passed","Thu Jun 12 15:34:14 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1466_OrderPage_AllOrdersView_Pending_Confirmations_View_Functionality_Test","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1466_OrderPage_AllOrdersView_Pending_Confirmations_View_Functionality_Test","Validate_Hana_T1466_OrderPage_AllOrdersView_Pending_Confirmations_View_Functionality_Test"
"Hana_T1454 :- Verify Phone Order Status Changed to Not Delivered (Delivery Attempted) by Hana Viewers mobile App with existing customer functionality","278881","Validate_Hana_T1454_OrderPage_AllOrders_Verify_Status_is_ChangedTo_Not_Delivered_Delivery_Attempted_When_Order_is_Delivered_From_Hana_Viewers_App_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:24:57 IST 2025","passed","Thu Jun 12 15:29:36 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1454_OrderPage_AllOrders_Verify_Status_is_ChangedTo_Not_Delivered_Delivery_Attempted_When_Order_is_Delivered_From_Hana_Viewers_App_Functionality_Test","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1454_OrderPage_AllOrders_Verify_Status_is_ChangedTo_Not_Delivered_Delivery_Attempted_When_Order_is_Delivered_From_Hana_Viewers_App_Functionality_Test","Validate_Hana_T1454_OrderPage_AllOrders_Verify_Status_is_ChangedTo_Not_Delivered_Delivery_Attempted_When_Order_is_Delivered_From_Hana_Viewers_App_Functionality_Test"
"","137326","Validate_Hana_T_Webadmin_Update_AddOn_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:58:25 IST 2025","failed","Thu Jun 12 16:00:42 IST 2025","com.hanapos.testcases.WebAdmin_Testcases.Hana_T_Webadmin_Add_New_AddOn_Test","Hana POS - Smoke Functional Test","com.hanapos.testcases.WebAdmin_Testcases.Hana_T_Webadmin_Add_New_AddOn_Test","Validate_Hana_T_Webadmin_Update_AddOn_Test"
"","206049","Validate_Hana_T082_Pickup_Functionality_with_New_customer_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:00:28 IST 2025","passed","Thu Jun 12 15:03:54 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Pick_Up_Type.Hana_T082_Pickup_Functionality_with_New_customer_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Pick_Up_Type.Hana_T082_Pickup_Functionality_with_New_customer_FT","Validate_Hana_T082_Pickup_Functionality_with_New_customer_Test"
"","177420","Validate_Hana_T519_OrderEntryPage_WireOut_Functionality_with_Existing_customer_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:03:31 IST 2025","passed","Thu Jun 12 15:06:28 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T519_OrderEntryPage_WireOut_Functionality_with_Existing_customer_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T519_OrderEntryPage_WireOut_Functionality_with_Existing_customer_FT","Validate_Hana_T519_OrderEntryPage_WireOut_Functionality_with_Existing_customer_Functionality_Test"
"","181662","Add_New_EGiftCard","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:53:44 IST 2025","passed","Thu Jun 12 15:56:45 IST 2025","com.hanapos.testcases.CashandCarry_Testcases.Hana_T_Payments_With_EGiftCard_Under_Payment_Section_GiftCard_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.CashandCarry_Testcases.Hana_T_Payments_With_EGiftCard_Under_Payment_Section_GiftCard_FT","Add_New_EGiftCard"
"","252458","Validate_Hana_T711_Quick_Dispatch_Functionality_with_Existing_customer","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:15:39 IST 2025","failed","Thu Jun 12 15:19:52 IST 2025","com.hanapos.testcases.Quick_Dispatch_Testcases.Hana_T711_Quick_Dispatch_Functionality","Hana POS - Smoke Functional Test","com.hanapos.testcases.Quick_Dispatch_Testcases.Hana_T711_Quick_Dispatch_Functionality","Validate_Hana_T711_Quick_Dispatch_Functionality_with_Existing_customer"
"Hana_T14 :- Add Product on Cash And Carry Page Functionality with existing customer","185660","Validate_Hana_T14_Add_Product_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:05:20 IST 2025","passed","Thu Jun 12 15:08:26 IST 2025","com.hanapos.testcases.CashandCarry_Testcases.Hana_T14_Add_Product_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.CashandCarry_Testcases.Hana_T14_Add_Product_FT","Validate_Hana_T14_Add_Product_Test"
"","363121","Validate_Hana_T1504_AllOrdersView_Split_Payment_View_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:40:18 IST 2025","failed","Thu Jun 12 15:46:21 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1504_AllOrdersView_Split_Payment_View_Functionality_Test","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1504_AllOrdersView_Split_Payment_View_Functionality_Test","Validate_Hana_T1504_AllOrdersView_Split_Payment_View_Functionality_Test"
