"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81926","Validate_Hana_T583_RecipientSection_NewCustomerDetails_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 22:10:15 IST 2025","passed","Wed Aug 06 22:11:37 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T583_RecipientSection_NewCustomerDetails_FT","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T583_RecipientSection_NewCustomerDetails_FT","Validate_Hana_T583_RecipientSection_NewCustomerDetails_Functionality_Test"
"","74744","Validate_Hana_T553_CustomerSection_Edit_Customer_CustomerDetails_PaymentDetails_ExportToExcel_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 21:42:50 IST 2025","passed","Wed Aug 06 21:44:05 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T553_CustomerSection_Edit_Customer_CustomerDetails_PaymentDetails_ExportToExcel_FT","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T553_CustomerSection_Edit_Customer_CustomerDetails_PaymentDetails_ExportToExcel_FT","Validate_Hana_T553_CustomerSection_Edit_Customer_CustomerDetails_PaymentDetails_ExportToExcel_Functionality_Test"
"","141760","Validate_Hana_T445_Payment_Section_CreditCard_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 20:36:56 IST 2025","passed","Wed Aug 06 20:39:18 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T445_Payment_Section_CreditCard_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T445_Payment_Section_CreditCard_Functionality","Validate_Hana_T445_Payment_Section_CreditCard_Functionality_Test"
"","121374","Validate_Hana_T376_OrderDetailsSection_SendRemainderEmail_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 20:03:28 IST 2025","passed","Wed Aug 06 20:05:29 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T376_OrderDetailsSection_SendRemainderEmail_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T376_OrderDetailsSection_SendRemainderEmail_Functionality","Validate_Hana_T376_OrderDetailsSection_SendRemainderEmail_Functionality_Test"
"","348211","Validate_Hana_T776_Quick_Dispatch_Edit_Trip_Section_Functionality","Hana POS - Regression Functional Test Suite","Thu Aug 07 04:10:37 IST 2025","failed","Thu Aug 07 04:16:25 IST 2025","com.hanapos.testcases.Quick_Dispatch_Testcases.Hana_T776_Quick_Dispatch_Edit_Trip_Section_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Quick_Dispatch_Testcases.Hana_T776_Quick_Dispatch_Edit_Trip_Section_Functionality","Validate_Hana_T776_Quick_Dispatch_Edit_Trip_Section_Functionality"
"","167363","Validate_Hana_T675_WireOut_Payment_Section_WriteOff_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 22:53:44 IST 2025","passed","Wed Aug 06 22:56:31 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T675_WireOut_Payment_Section_WriteOff_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T675_WireOut_Payment_Section_WriteOff_Functionality","Validate_Hana_T675_WireOut_Payment_Section_WriteOff_Functionality_Test"
"","211052","Validate_Hana_T899_Advance_Dispatch_Delivery_Field_Future_Date_Functionality_Test","Hana POS - Regression Functional Test Suite","Thu Aug 07 01:33:26 IST 2025","passed","Thu Aug 07 01:36:57 IST 2025","com.hanapos.testcases.Advance_Dispatch_Testcases.Hana_T899_Advance_Dispatch_Delivery_Field_Future_Date_Functionality_Test","Hana POS - Regression Functional Test","com.hanapos.testcases.Advance_Dispatch_Testcases.Hana_T899_Advance_Dispatch_Delivery_Field_Future_Date_Functionality_Test","Validate_Hana_T899_Advance_Dispatch_Delivery_Field_Future_Date_Functionality_Test"
"Ecommerce Bestflorist website - Checkout Page End to End Functionality","89446","Validate_Hana_T1049_Ecommerce_Checkout_Page_Functionality_Test","Hana POS - Regression Functional Test Suite","Thu Aug 07 03:16:13 IST 2025","failed","Thu Aug 07 03:17:43 IST 2025","com.hanapos.testcases.Ecommerce_Testcases.Hana_T1049_Ecommerce_Checkout_Page_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Ecommerce_Testcases.Hana_T1049_Ecommerce_Checkout_Page_Functionality","Validate_Hana_T1049_Ecommerce_Checkout_Page_Functionality_Test"
"","139048","Validate_Hana_T415_ProductSection_CreateRecipe_LabourCostClear_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 20:16:42 IST 2025","passed","Wed Aug 06 20:19:02 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T415_ProductSection_CreateRecipe_LabourCostClear_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T415_ProductSection_CreateRecipe_LabourCostClear_Functionality","Validate_Hana_T415_ProductSection_CreateRecipe_LabourCostClear_Functionality_Test"
"","83030","Validate_Hana_T606_WireOut_OrderDetailsSection_ShortCode_Delete_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 22:23:24 IST 2025","passed","Wed Aug 06 22:24:47 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T606_WireOut_OrderDetailsSection_ShortCode_Delete_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T606_WireOut_OrderDetailsSection_ShortCode_Delete_Functionality","Validate_Hana_T606_WireOut_OrderDetailsSection_ShortCode_Delete_Functionality_Test"
"","209153","Validate_Hana_T952_Advance_Dispatch_Trip_Section_Functionality_Test","Hana POS - Regression Functional Test Suite","Thu Aug 07 01:48:27 IST 2025","passed","Thu Aug 07 01:51:56 IST 2025","com.hanapos.testcases.Advance_Dispatch_Testcases.Hana_T952_Advance_Dispatch_Trip_Section_Functionality_Test","Hana POS - Regression Functional Test","com.hanapos.testcases.Advance_Dispatch_Testcases.Hana_T952_Advance_Dispatch_Trip_Section_Functionality_Test","Validate_Hana_T952_Advance_Dispatch_Trip_Section_Functionality_Test"
